country,year,pollutantName,value,Country Name,Year,Population,GDP_USD,gdp_per_capita
Germany,2022,SOx,511.32969894,Germany,2022,83797985.0,4163596357879.3936,49686.11545825826
Germany,2023,NOx,2087.4722801,Germany,2023,83901923.0,4525703903627.531,53940.40734474621
Germany,2023,SOx,451.85172166,Germany,2023,83901923.0,4525703903627.531,53940.40734474621
Greece,1990,NOx,1202.101646214,Greece,1990,10196792.0,96529587274.29063,9466.662385021744
Greece,1990,SOx,1334.4624042648,Greece,1990,10196792.0,96529587274.29063,9466.662385021744
Greece,1991,NOx,1169.289716614,Greece,1991,10319927.0,103680863712.84352,10046.666387547462
Greece,1991,SOx,1293.199739121,Greece,1991,10319927.0,103680863712.84352,10046.666387547462
Greece,1992,NOx,1237.637581348,Greece,1992,10399061.0,114608178405.4344,11021.012224607048
Greece,1992,SOx,1359.012781649,Greece,1992,10399061.0,114608178405.4344,11021.012224607048
Greece,1993,NOx,1284.0512835920001,Greece,1993,10460415.0,107295704518.43044,10257.308578907285
Greece,1993,SOx,1397.5653035080002,Greece,1993,10460415.0,107295704518.43044,10257.308578907285
Greece,1994,NOx,1327.665731512,Greece,1994,10512922.0,114980063202.2472,10937.022380861115
Greece,1994,SOx,1450.85385629,Greece,1994,10512922.0,114980063202.2472,10937.022380861115
Greece,1995,NOx,1335.0120990799999,Greece,1995,10562153.0,134974613913.81088,12779.081491606008
Greece,1995,SOx,1453.744010328,Greece,1995,10562153.0,134974613913.81088,12779.081491606008
Greece,1996,NOx,1286.94374133,Greece,1996,10608800.0,142502984144.96036,13432.526218324443
Greece,1996,SOx,1406.4894093799999,Greece,1996,10608800.0,142502984144.96036,13432.526218324443
Greece,1997,NOx,1319.230740588,Greece,1997,10661259.0,138766067640.08487,13015.91750468541
Greece,1997,SOx,1476.511961068,Greece,1997,10661259.0,138766067640.08487,13015.91750468541
Greece,1998,NOx,1427.57528463,Greece,1998,10720509.0,139612812175.71774,13022.964877480888
Greece,1998,SOx,1587.449077418,Greece,1998,10720509.0,139612812175.71774,13022.964877480888
Greece,1999,NOx,1343.324956702,Greece,1999,10761698.0,137131371955.30724,12742.540438814323
Greece,1999,SOx,1508.3116825406,Greece,1999,10761698.0,137131371955.30724,12742.540438814323
Greece,2000,NOx,1377.1638718499999,Greece,2000,10805808.0,125760166224.80498,11638.201069721485
Greece,2000,SOx,1554.635239752,Greece,2000,10805808.0,125760166224.80498,11638.201069721485
Greece,2001,NOx,1402.843446494,Greece,2001,10862132.0,132050474720.03008,12156.957282422094
Greece,2001,SOx,1584.271723412,Greece,2001,10862132.0,132050474720.03008,12156.957282422094
Greece,2002,NOx,1312.230485024,Greece,2002,10902022.0,150253800085.8646,13782.195640942991
Greece,2002,SOx,1505.174522744,Greece,2002,10902022.0,150253800085.8646,13782.195640942991
Greece,2003,NOx,1328.27667598,Greece,2003,10928070.0,196930509813.3843,18020.612039764048
Greece,2003,SOx,1539.180520502,Greece,2003,10928070.0,196930509813.3843,18020.612039764048
Greece,2004,NOx,1335.4754189,Greece,2004,10955141.0,234979615898.22452,21449.25527642452
Greece,2004,SOx,1550.426113004,Greece,2004,10955141.0,234979615898.22452,21449.25527642452
Greece,2005,NOx,1344.168662162,Greece,2005,10987314.0,242315668619.40533,22054.131575688592
Greece,2005,SOx,1543.458023326,Greece,2005,10987314.0,242315668619.40533,22054.131575688592
Greece,2006,NOx,1358.800303554,Greece,2006,11020362.0,269073415333.6761,24416.023297027456
Greece,2006,SOx,1492.9665217299998,Greece,2006,11020362.0,269073415333.6761,24416.023297027456
Greece,2007,NOx,1373.047715218,Greece,2007,11048473.0,314226996944.10803,28440.762532895544
Greece,2007,SOx,1474.899528728,Greece,2007,11048473.0,314226996944.10803,28440.762532895544
Greece,2008,NOx,1306.2941368440001,Greece,2008,11077841.0,351121399546.4851,31695.83310922093
Greece,2008,SOx,1320.83843439,Greece,2008,11077841.0,351121399546.4851,31695.83310922093
Greece,2009,NOx,1205.89568043,Greece,2009,11107017.0,326829054686.306,29425.457320026253
Greece,2009,SOx,1144.9812691660002,Greece,2009,11107017.0,326829054686.306,29425.457320026253
Greece,2010,NOx,1094.09307528,Greece,2010,11121341.0,296417644404.0339,26653.048800862583
Greece,2010,SOx,813.1214544137999,Greece,2010,11121341.0,296417644404.0339,26653.048800862583
Greece,2011,NOx,1070.20732188,Greece,2011,11104899.0,283228079776.04144,25504.786651012444
Greece,2011,SOx,675.3245332178001,Greece,2011,11104899.0,283228079776.04144,25504.786651012444
Greece,2012,NOx,923.5385053800001,Greece,2012,11045011.0,238841140018.23288,21624.346052551045
Greece,2012,SOx,573.8032821538,Greece,2012,11045011.0,238841140018.23288,21624.346052551045
Greece,2013,NOx,879.285098012,Greece,2013,10965211.0,236556279640.70535,21573.344976280478
Greece,2013,SOx,511.2715999838,Greece,2013,10965211.0,236556279640.70535,21573.344976280478
Greece,2014,NOx,833.528320398,Greece,2014,10892413.0,233911581521.06232,21474.725712389198
Greece,2014,SOx,438.85124173779997,Greece,2014,10892413.0,233911581521.06232,21474.725712389198
Greece,2015,NOx,800.191488082,Greece,2015,10820883.0,194567373678.09912,17980.72982381374
Greece,2015,SOx,424.842535097,Greece,2015,10820883.0,194567373678.09912,17980.72982381374
Greece,2016,NOx,798.4804971379999,Greece,2016,10775971.0,193097239005.8701,17919.24263770477
Greece,2016,SOx,371.029346346,Greece,2016,10775971.0,193097239005.8701,17919.24263770477
Greece,2017,NOx,872.760371092,Greece,2017,10754679.0,200381103984.298,18631.99301292935
Greece,2017,SOx,443.4725132046,Greece,2017,10754679.0,200381103984.298,18631.99301292935
Greece,2018,NOx,867.415764242,Greece,2018,10732882.0,213298873494.3936,19873.401523877143
Greece,2018,SOx,445.52834287499996,Greece,2018,10732882.0,213298873494.3936,19873.401523877143
Greece,2019,NOx,904.088851692,Greece,2019,10721582.0,207305649887.0193,19335.360200296866
Greece,2019,SOx,462.1681809036,Greece,2019,10721582.0,207305649887.0193,19335.360200296866
Greece,2020,NOx,702.2945124180001,Greece,2020,10698599.0,191362985554.86124,17886.733165236048
Greece,2020,SOx,217.8278125256,Greece,2020,10698599.0,191362985554.86124,17886.733165236048
Greece,2021,NOx,723.72809151,Greece,2021,10569207.0,218303801895.326,20654.7001960815
Greece,2021,SOx,200.06080428459998,Greece,2021,10569207.0,218303801895.326,20654.7001960815
Greece,2022,NOx,767.848096234,Greece,2022,10436882.0,218880566444.3491,20971.83492582833
Greece,2022,SOx,200.7081995496,Greece,2022,10436882.0,218880566444.3491,20971.83492582833
Greece,2023,NOx,761.0224102020001,Greece,2023,10405588.0,243498333237.80237,23400.727881769137
Greece,2023,SOx,195.6249119714,Greece,2023,10405588.0,243498333237.80237,23400.727881769137
Sweden,1990,NOx,679.849995114,Sweden,1990,8558835.0,261469578630.80356,30549.669275176297
Sweden,1990,SOx,272.6393863594,Sweden,1990,8558835.0,261469578630.80356,30549.669275176297
Sweden,1991,NOx,702.447137702,Sweden,1991,8617375.0,273834608019.8429,31777.03279941315
Sweden,1991,SOx,279.2441576722,Sweden,1991,8617375.0,273834608019.8429,31777.03279941315
Sweden,1992,NOx,686.995619198,Sweden,1992,8668067.0,283912173666.6781,32753.80470255688
Sweden,1992,SOx,275.1960305068,Sweden,1992,8668067.0,283912173666.6781,32753.80470255688
Sweden,1993,NOx,659.343014354,Sweden,1993,8718561.0,212647043708.40503,24390.15380042705
Sweden,1993,SOx,251.4747023898,Sweden,1993,8718561.0,212647043708.40503,24390.15380042705
Sweden,1994,NOx,688.452792222,Sweden,1994,8780745.0,228701658890.61688,26045.814892770133
Sweden,1994,SOx,263.8673755524,Sweden,1994,8780745.0,228701658890.61688,26045.814892770133
Sweden,1995,NOx,666.810318638,Sweden,1995,8826939.0,267052836695.49857,30254.29729326311
Sweden,1995,SOx,242.55156103299998,Sweden,1995,8826939.0,267052836695.49857,30254.29729326311
Sweden,1996,NOx,662.145063116,Sweden,1996,8840998.0,291952430659.1112,33022.564947883846
Sweden,1996,SOx,235.725102984,Sweden,1996,8840998.0,291952430659.1112,33022.564947883846
Sweden,1997,NOx,670.778491676,Sweden,1997,8846062.0,268251974485.58597,30324.45109310628
Sweden,1997,SOx,236.87912586320002,Sweden,1997,8846062.0,268251974485.58597,30324.45109310628
Sweden,1998,NOx,683.050344102,Sweden,1998,8850974.0,270889570937.9992,30605.622718810293
Sweden,1998,SOx,243.5433387354,Sweden,1998,8850974.0,270889570937.9992,30605.622718810293
Sweden,1999,NOx,672.511362308,Sweden,1999,8857874.0,274320415375.6778,30969.1033509483
Sweden,1999,SOx,225.0181465258,Sweden,1999,8857874.0,274320415375.6778,30969.1033509483
Sweden,2000,NOx,659.409970628,Sweden,2000,8872109.0,262905197441.66248,29632.773610159937
Sweden,2000,SOx,212.030811934,Sweden,2000,8872109.0,262905197441.66248,29632.773610159937
Sweden,2001,NOx,634.10242395,Sweden,2001,8895960.0,242499249692.616,27259.48067354349
Sweden,2001,SOx,204.8071961348,Sweden,2001,8895960.0,242499249692.616,27259.48067354349
Sweden,2002,NOx,589.8777559380001,Sweden,2002,8924958.0,267373345246.5313,29957.93876526156
Sweden,2002,SOx,188.9437611662,Sweden,2002,8924958.0,267373345246.5313,29957.93876526156
Sweden,2003,NOx,644.613310198,Sweden,2003,8958229.0,334074051172.9716,37292.42143430041
Sweden,2003,SOx,229.01041415839998,Sweden,2003,8958229.0,334074051172.9716,37292.42143430041
Sweden,2004,NOx,682.985441782,Sweden,2004,8993531.0,384547211147.2465,42758.20155034174
Sweden,2004,SOx,249.7364379086,Sweden,2004,8993531.0,384547211147.2465,42758.20155034174
Sweden,2005,NOx,671.119590888,Sweden,2005,9029572.0,391690329314.4746,43378.61521171487
Sweden,2005,SOx,245.5848423892,Sweden,2005,9029572.0,391690329314.4746,43378.61521171487
Sweden,2006,NOx,682.37599154,Sweden,2006,9080505.0,422530427475.5361,46531.60011205721
Sweden,2006,SOx,221.388542843,Sweden,2006,9080505.0,422530427475.5361,46531.60011205721
Sweden,2007,NOx,667.98100645,Sweden,2007,9148092.0,490050156832.57385,53568.56455232127
Sweden,2007,SOx,170.03507244239998,Sweden,2007,9148092.0,490050156832.57385,53568.56455232127
Sweden,2008,NOx,643.989755772,Sweden,2008,9219637.0,514616528348.8341,55817.43927107261
Sweden,2008,SOx,158.0056491042,Sweden,2008,9219637.0,514616528348.8341,55817.43927107261
Sweden,2009,NOx,631.6338934639999,Sweden,2009,9298515.0,434313804907.3663,46707.8673215418
Sweden,2009,SOx,160.2031852688,Sweden,2009,9298515.0,434313804907.3663,46707.8673215418
Sweden,2010,NOx,615.699759314,Sweden,2010,9378126.0,492753255885.7183,52542.82741410365
Sweden,2010,SOx,134.0981089618,Sweden,2010,9378126.0,492753255885.7183,52542.82741410365
Sweden,2011,NOx,562.903163426,Sweden,2011,9449213.0,570541353128.7235,60379.77481603214
Sweden,2011,SOx,105.3680168792,Sweden,2011,9449213.0,570541353128.7235,60379.77481603214
Sweden,2012,NOx,526.8100292,Sweden,2012,9519374.0,549742183874.3553,57749.825132866434
Sweden,2012,SOx,102.1861941734,Sweden,2012,9519374.0,549742183874.3553,57749.825132866434
Sweden,2013,NOx,504.80520144,Sweden,2013,9600379.0,584128116410.29,60844.27671139754
Sweden,2013,SOx,122.39440922739999,Sweden,2013,9600379.0,584128116410.29,60844.27671139754
Sweden,2014,NOx,511.67406079,Sweden,2014,9696110.0,577730245154.1624,59583.71400016732
Sweden,2014,SOx,119.95482249640001,Sweden,2014,9696110.0,577730245154.1624,59583.71400016732
Sweden,2015,NOx,478.509386744,Sweden,2015,9799186.0,501698263620.6632,51197.95293411751
Sweden,2015,SOx,96.6661027072,Sweden,2015,9799186.0,501698263620.6632,51197.95293411751
Sweden,2016,NOx,498.577317466,Sweden,2016,9923085.0,514218206628.3252,51820.39724826757
Sweden,2016,SOx,131.910117206,Sweden,2016,9923085.0,514218206628.3252,51820.39724826757
Sweden,2017,NOx,521.336874054,Sweden,2017,10057698.0,536083940228.68365,53300.85872817852
Sweden,2017,SOx,153.7875152886,Sweden,2017,10057698.0,536083940228.68365,53300.85872817852
Sweden,2018,NOx,466.7130095,Sweden,2018,10175214.0,551312498430.1636,54181.90697809045
Sweden,2018,SOx,98.7795294358,Sweden,2018,10175214.0,551312498430.1636,54181.90697809045
Sweden,2019,NOx,483.031940524,Sweden,2019,10278887.0,532169294165.9397,51773.04645589933
Sweden,2019,SOx,112.6435082856,Sweden,2019,10278887.0,532169294165.9397,51773.04645589933
Sweden,2020,NOx,484.817941946,Sweden,2020,10353442.0,545147614972.1406,52653.75659342474
Sweden,2020,SOx,64.0752713804,Sweden,2020,10353442.0,545147614972.1406,52653.75659342474
Sweden,2021,NOx,423.76506057552,Sweden,2021,10415811.0,637186904843.6361,61174.96802156223
Sweden,2021,SOx,54.9846023642,Sweden,2021,10415811.0,637186904843.6361,61174.96802156223
Sweden,2022,NOx,404.81930457427995,Sweden,2022,10486941.0,579895717343.956,55296.93714725353
Sweden,2022,SOx,51.9319446002,Sweden,2022,10486941.0,579895717343.956,55296.93714725353
Sweden,2023,NOx,340.55942848456,Sweden,2023,10536632.0,585489968189.0636,55567.0890080496
Sweden,2023,SOx,45.4434917324,Sweden,2023,10536632.0,585489968189.0636,55567.0890080496
