country,year,pollutantName,value,Population,GDP_USD,gdp_per_capita
Greece,1996,NOx,643.471870665,10608800.0,142502984144.96036,13432.526218324443
Greece,1996,SOx,703.2447046899999,10608800.0,142502984144.96036,13432.526218324443
Greece,1997,NOx,659.615370294,10661259.0,138766067640.08487,13015.91750468541
Greece,1997,SOx,738.255980534,10661259.0,138766067640.08487,13015.91750468541
Greece,1998,NOx,713.787642315,10720509.0,139612812175.71774,13022.964877480888
Greece,1998,SOx,793.7245387090001,10720509.0,139612812175.71774,13022.964877480888
Greece,1999,NOx,671.662478351,10761698.0,137131371955.30724,12742.540438814323
Greece,1999,SOx,754.1558412703,10761698.0,137131371955.30724,12742.540438814323
Greece,2000,NOx,688.5819359249999,10805808.0,125760166224.80498,11638.201069721485
Greece,2000,SOx,777.317619876,10805808.0,125760166224.80498,11638.201069721485
Greece,2001,NOx,701.421723247,10862132.0,132050474720.03008,12156.957282422094
Greece,2001,SOx,792.135861706,10862132.0,132050474720.03008,12156.957282422094
Greece,2002,NOx,656.115242512,10902022.0,150253800085.8646,13782.195640942991
Greece,2002,SOx,752.587261372,10902022.0,150253800085.8646,13782.195640942991
Greece,2003,NOx,664.13833799,10928070.0,196930509813.3843,18020.612039764048
Greece,2003,SOx,769.590260251,10928070.0,196930509813.3843,18020.612039764048
Greece,2004,NOx,667.73770945,10955141.0,234979615898.22452,21449.25527642452
Greece,2004,SOx,775.213056502,10955141.0,234979615898.22452,21449.25527642452
Greece,2005,NOx,672.084331081,10987314.0,242315668619.40533,22054.131575688592
Greece,2005,SOx,771.729011663,10987314.0,242315668619.40533,22054.131575688592
Greece,2006,NOx,679.400151777,11020362.0,269073415333.6761,24416.023297027456
Greece,2006,SOx,746.483260865,11020362.0,269073415333.6761,24416.023297027456
Greece,2007,NOx,686.523857609,11048473.0,314226996944.10803,28440.762532895544
Greece,2007,SOx,737.449764364,11048473.0,314226996944.10803,28440.762532895544
Greece,2008,NOx,653.1470684220001,11077841.0,351121399546.4851,31695.83310922093
Greece,2008,SOx,660.419217195,11077841.0,351121399546.4851,31695.83310922093
Greece,2009,NOx,602.947840215,11107017.0,326829054686.306,29425.457320026253
Greece,2009,SOx,572.490634583,11107017.0,326829054686.306,29425.457320026253
Greece,2010,NOx,547.04653764,11121341.0,296417644404.0339,26653.048800862583
Greece,2010,SOx,406.56072720689997,11121341.0,296417644404.0339,26653.048800862583
Greece,2011,NOx,535.10366094,11104899.0,283228079776.04144,25504.786651012444
Greece,2011,SOx,337.66226660890004,11104899.0,283228079776.04144,25504.786651012444
Greece,2012,NOx,461.76925269000003,11045011.0,238841140018.23288,21624.346052551045
Greece,2012,SOx,286.9016410769,11045011.0,238841140018.23288,21624.346052551045
Greece,2013,NOx,439.64254900599997,10965211.0,236556279640.70535,21573.344976280478
Greece,2013,SOx,255.6357999919,10965211.0,236556279640.70535,21573.344976280478
Greece,2014,NOx,416.764160199,10892413.0,233911581521.06232,21474.725712389198
Greece,2014,SOx,219.42562086889998,10892413.0,233911581521.06232,21474.725712389198
Greece,2015,NOx,400.095744041,10820883.0,194567373678.09912,17980.72982381374
Greece,2015,SOx,212.4212675485,10820883.0,194567373678.09912,17980.72982381374
Greece,2016,NOx,399.240248569,10775971.0,193097239005.8701,17919.24263770477
Greece,2016,SOx,185.514673173,10775971.0,193097239005.8701,17919.24263770477
Greece,2017,NOx,436.380185546,10754679.0,200381103984.298,18631.99301292935
Greece,2017,SOx,221.7362566023,10754679.0,200381103984.298,18631.99301292935
Greece,2018,NOx,433.707882121,10732882.0,213298873494.3936,19873.401523877143
Greece,2018,SOx,222.7641714375,10732882.0,213298873494.3936,19873.401523877143
Greece,2019,NOx,452.044425846,10721582.0,207305649887.0193,19335.360200296866
Greece,2019,SOx,231.08409045180002,10721582.0,207305649887.0193,19335.360200296866
Greece,2020,NOx,351.14725620900003,10698599.0,191362985554.86124,17886.733165236048
Greece,2020,SOx,108.9139062628,10698599.0,191362985554.86124,17886.733165236048
Greece,2021,NOx,361.864045755,10569207.0,218303801895.326,20654.7001960815
Greece,2021,SOx,100.0304021423,10569207.0,218303801895.326,20654.7001960815
Greece,2022,NOx,383.92404811700004,10436882.0,218880566444.3491,20971.83492582833
Greece,2022,SOx,100.3540997748,10436882.0,218880566444.3491,20971.83492582833
Greece,2023,NOx,380.51120510100003,10405588.0,243498333237.80237,23400.727881769137
Greece,2023,SOx,97.8124559857,10405588.0,243498333237.80237,23400.727881769137
Sweden,1990,NOx,339.924997557,8558835.0,261469578630.80356,30549.669275176297
Sweden,1990,SOx,136.3196931797,8558835.0,261469578630.80356,30549.669275176297
